year,state,age,births
1989,3,40,490
1989,3,45,28
1989,4,15,1203
1989,4,20,4258
1989,4,25,7644
1989,4,30,4901
1989,4,35,1540
1989,4,40,202
1989,4,45,14
1989,5,15,1480
1989,5,20,5329
1989,5,25,9731
1989,5,30,6542
1989,5,35,2029
1989,5,40,306
1989,5,45,14
1989,6,15,514
1989,6,20,1678
1989,6,25,2683
1989,6,30,1578
1989,6,35,437
1989,6,40,85
1989,6,45,4
1989,7,15,522
1989,7,20,884
1989,7,25,1073
1989,7,30,715
1989,7,35,240
1989,7,40,33
1989,7,45,0
1989,8,15,159
1989,8,20,778
1989,8,25,1512
1989,8,30,1193
1989,8,35,447
1989,8,40,90
1989,8,45,1
1990,1,15,5113
1990,1,20,18367
1990,1,25,33516
1990,1,30,24320
1990,1,35,8363
1990,1,40,1326
1990,1,45,62
1990,2,15,2861
1990,2,20,12212
1990,2,25,25346
1990,2,30,19605
1990,2,35,6310
1990,2,40,962
1990,2,45,37
1990,3,15,3339
1990,3,20,10027
1990,3,25,16599
1990,3,30,11186
1990,3,35,3540
1990,3,40,564
1990,3,45,30
1990,4,15,1210
1990,4,20,4173
1990,4,25,7663
1990,4,30,5234
1990,4,35,1534
1990,4,40,253
1990,4,45,14
1990,5,15,1613
1990,5,20,5295
1990,5,25,9353
1990,5,30,6879
1990,5,35,2174
1990,5,40,331
1990,5,45,16
1990,6,15,514
1990,6,20,1704
1990,6,25,2644
1990,6,30,1751
1990,6,35,508
1990,6,40,75
1990,6,45,8
1990,7,15,547
1990,7,20,953
1990,7,25,1056
1990,7,30,780
1990,7,35,263
1990,7,40,51
1990,7,45,0
1990,8,15,194
1990,8,20,836
1990,8,25,1622
1990,8,30,1270
1990,8,35,448
1990,8,40,84
1990,8,45,3
1991,1,15,5013
1991,1,20,17434
1991,1,25,31025
1991,1,30,24497
1991,1,35,8543
1991,1,40,1329
1991,1,45,68
1991,2,15,2769
1991,2,20,11764
1991,2,25,23980
1991,2,30,19515
1991,2,35,6762
1991,2,40,982
1991,2,45,46
1991,3,15,3191
1991,3,20,9822
1991,3,25,15624
1991,3,30,11543
1991,3,35,3708
1991,3,40,600
1991,3,45,31
1991,4,15,1146
1991,4,20,4074
1991,4,25,7280
1991,4,30,5419
1991,4,35,1672
1991,4,40,246
1991,4,45,17
1991,5,15,1545
1991,5,20,5434
1991,5,25,9185
1991,5,30,6850
1991,5,35,2292
1991,5,40,365
1991,5,45,18
1991,6,15,550
1991,6,20,1629
1991,6,25,2492
1991,6,30,1776
1991,6,35,572
1991,6,40,75
1991,6,45,6
1991,7,15,492
1991,7,20,962
1991,7,25,1078
1991,7,30,770
1991,7,35,321
1991,7,40,35
1991,7,45,0
1991,8,15,206
1991,8,20,887
1991,8,25,1642
1991,8,30,1386
1991,8,35,521
1991,8,40,80
1991,8,45,0
1992,1,15,4935
1992,1,20,18590
1992,1,25,31793
1992,1,30,26625
1992,1,35,9508
1992,1,40,1507
1992,1,45,93
1992,2,15,2421
1992,2,20,11587
1992,2,25,23455
1992,2,30,20354
1992,2,35,7164
1992,2,40,1097
1992,2,45,81
1992,3,15,3179
1992,3,20,10588
1992,3,25,15723
1992,3,30,12372
1992,3,35,4067
1992,3,40,673
1992,3,45,48
1992,4,15,981
1992,4,20,3793
1992,4,25,6730
1992,4,30,5696
1992,4,35,1943
1992,4,40,319
1992,4,45,29
1992,5,15,1582
1992,5,20,5185
1992,5,25,8781
1992,5,30,7094
1992,5,35,2337
1992,5,40,403
1992,5,45,25
1992,6,15,520
1992,6,20,1636
1992,6,25,2470
1992,6,30,1864
