year,state,sex,age,immig,emig
1982,5,M,75,60,20
1982,5,M,80,20,10
1982,5,M,85,0,0
1982,6,F,0,80,60
1982,6,F,5,80,40
1982,6,F,10,50,30
1982,6,F,15,80,50
1982,6,F,20,150,120
1982,6,F,25,180,120
1982,6,F,30,110,70
1982,6,F,35,80,40
1982,6,F,40,50,20
1982,6,F,45,20,20
1982,6,F,50,30,0
1982,6,F,55,20,0
1982,6,F,60,30,20
1982,6,F,65,30,0
1982,6,F,70,20,0
1982,6,F,75,10,0
1982,6,F,80,0,0
1982,6,F,85,0,0
1982,6,M,0,90,50
1982,6,M,5,60,60
1982,6,M,10,70,30
1982,6,M,15,90,40
1982,6,M,20,150,120
1982,6,M,25,180,120
1982,6,M,30,120,100
1982,6,M,35,80,60
1982,6,M,40,50,40
1982,6,M,45,40,20
1982,6,M,50,40,20
1982,6,M,55,20,0
1982,6,M,60,20,0
1982,6,M,65,20,0
1982,6,M,70,20,0
1982,6,M,75,10,0
1982,6,M,80,0,0
1982,6,M,85,0,0
1982,7,F,0,80,80
1982,7,F,5,60,50
1982,7,F,10,70,30
1982,7,F,15,70,30
1982,7,F,20,110,70
1982,7,F,25,120,90
1982,7,F,30,100,60
1982,7,F,35,70,40
1982,7,F,40,40,40
1982,7,F,45,30,0
1982,7,F,50,0,20
1982,7,F,55,20,0
1982,7,F,60,0,0
1982,7,F,65,0,0
1982,7,F,70,0,0
1982,7,F,75,0,0
1982,7,F,80,0,0
1982,7,F,85,0,0
1982,7,M,0,70,60
1982,7,M,5,80,50
1982,7,M,10,70,30
1982,7,M,15,70,30
1982,7,M,20,100,80
1982,7,M,25,140,90
1982,7,M,30,130,90
1982,7,M,35,90,70
1982,7,M,40,70,70
1982,7,M,45,40,30
1982,7,M,50,20,30
1982,7,M,55,0,20
1982,7,M,60,0,0
1982,7,M,65,0,0
1982,7,M,70,0,0
1982,7,M,75,0,0
1982,7,M,80,0,0
1982,7,M,85,0,0
1982,8,F,0,250,210
1982,8,F,5,240,210
1982,8,F,10,200,170
1982,8,F,15,150,90
1982,8,F,20,240,170
1982,8,F,25,300,270
1982,8,F,30,400,320
1982,8,F,35,300,260
1982,8,F,40,160,150
1982,8,F,45,100,80
1982,8,F,50,70,70
1982,8,F,55,50,40
1982,8,F,60,50,30
1982,8,F,65,30,20
1982,8,F,70,20,0
1982,8,F,75,0,0
1982,8,F,80,0,0
1982,8,F,85,0,0
1982,8,M,0,260,210
1982,8,M,5,290,230
1982,8,M,10,220,170
1982,8,M,15,160,80
1982,8,M,20,200,150
1982,8,M,25,300,230
1982,8,M,30,390,340
1982,8,M,35,370,340
1982,8,M,40,240,220
1982,8,M,45,140,120
1982,8,M,50,130,120
1982,8,M,55,70,80
1982,8,M,60,50,50
1982,8,M,65,40,0
1982,8,M,70,20,0
1982,8,M,75,20,0
1982,8,M,80,0,0
1982,8,M,85,0,0
1983,1,F,0,2360,1380
1983,1,F,5,2060,1160
1983,1,F,10,1690,840
1983,1,F,15,2240,980
1983,1,F,20,3720,3130
1983,1,F,25,4090,2940
1983,1,F,30,3270,2100
1983,1,F,35,2290,1430
1983,1,F,40,1190,760
1983,1,F,45,750,490
1983,1,F,50,610,410
1983,1,F,55,650,370
1983,1,F,60,680,400
1983,1,F,65,520,250
1983,1,F,70,370,200
1983,1,F,75,190,110
1983,1,F,80,90,60
1983,1,F,85,30,30
1983,1,M,0,2560,1510
1983,1,M,5,2290,1220
1983,1,M,10,1990,960
1983,1,M,15,2240,850
1983,1,M,20,3520,3260
1983,1,M,25,4120,3600
1983,1,M,30,3740,2690
1983,1,M,35,3220,2080
1983,1,M,40,1960,1300
1983,1,M,45,1270,870
1983,1,M,50,810,550
1983,1,M,55,660,450
1983,1,M,60,470,310
1983,1,M,65,460,240
1983,1,M,70,270,140
1983,1,M,75,150,90
1983,1,M,80,60,40
1983,1,M,85,20,0
1983,2,F,0,1590,850
1983,2,F,5,1430,740
1983,2,F,10,1190,580
1983,2,F,15,1680,550
1983,2,F,20,2360,1770
1983,2,F,25,2690,1670
1983,2,F,30,2170,1190
1983,2,F,35,1480,890
1983,2,F,40,780,460
1983,2,F,45,500,300
1983,2,F,50,430,280
1983,2,F,55,470,310
1983,2,F,60,500,280
1983,2,F,65,340,220
1983,2,F,70,260,170
1983,2,F,75,150,100
1983,2,F,80,60,40
1983,2,F,85,20,20
1983,2,M,0,1720,940
1983,2,M,5,1620,800
1983,2,M,10,1480,660
1983,2,M,15,1950,590
1983,2,M,20,2470,1900
1983,2,M,25,2720,2000
1983,2,M,30,2460,1490
1983,2,M,35,1900,1190
1983,2,M,40,1170,740
1983,2,M,45,770,530
1983,2,M,50,500,340
1983,2,M,55,410,260
1983,2,M,60,410,270
1983,2,M,65,330,190
1983,2,M,70,210,130
1983,2,M,75,120,70
1983,2,M,80,40,30
1983,2,M,85,0,0
1983,3,F,0,820,730
1983,3,F,5,810,550
1983,3,F,10,740,500
1983,3,F,15,660,450
1983,3,F,20,1310,1380
1983,3,F,25,1450,1160
1983,3,F,30,1180,800
1983,3,F,35,860,580
1983,3,F,40,430,310
1983,3,F,45,260,230
1983,3,F,50,230,160
1983,3,F,55,220,130
1983,3,F,60,220,100
1983,3,F,65,170,80
1983,3,F,70,120,70
1983,3,F,75,60,30
1983,3,F,80,20,10
1983,3,F,85,20,0
1983,3,M,0,880,700
1983,3,M,5,900,560
1983,3,M,10,820,480
1983,3,M,15,790,380
1983,3,M,20,1180,1270
1983,3,M,25,1330,1480
1983,3,M,30,1260,1070
1983,3,M,35,1090,820
1983,3,M,40,640,490
1983,3,M,45,350,310
1983,3,M,50,270,210
1983,3,M,55,190,170
1983,3,M,60,180,110
1983,3,M,65,180,90
1983,3,M,70,120,50
1983,3,M,75,50,30
1983,3,M,80,20,10
1983,3,M,85,0,0
1983,4,F,0,490,240
1983,4,F,5,430,200
1983,4,F,10,400,170
1983,4,F,15,410,190
1983,4,F,20,690,420
1983,4,F,25,810,460
1983,4,F,30,600,350
1983,4,F,35,410,270
1983,4,F,40,250,140
1983,4,F,45,120,90
1983,4,F,50,100,80
1983,4,F,55,140,70
1983,4,F,60,170,100
1983,4,F,65,130,50
1983,4,F,70,100,60
1983,4,F,75,40,30
1983,4,F,80,20,20
1983,4,F,85,0,10
1983,4,M,0,520,240
1983,4,M,5,460,210
1983,4,M,10,460,210
1983,4,M,15,550,160
1983,4,M,20,610,410
1983,4,M,25,900,510
1983,4,M,30,690,430
1983,4,M,35,550,310
1983,4,M,40,330,220
1983,4,M,45,190,140
1983,4,M,50,110,70
1983,4,M,55,110,80
1983,4,M,60,110,60
1983,4,M,65,110,50
1983,4,M,70,90,40
1983,4,M,75,40,20
1983,4,M,80,10,10
1983,4,M,85,0,0
1983,5,F,0,820,460
1983,5,F,5,760,410
1983,5,F,10,620,330
1983,5,F,15,670,370
1983,5,F,20,1040,930
1983,5,F,25,1240,940
1983,5,F,30,1090,710
1983,5,F,35,790,450
1983,5,F,40,370,240
1983,5,F,45,230,130
1983,5,F,50,200,110
1983,5,F,55,260,110
1983,5,F,60,300,110
1983,5,F,65,210,80
1983,5,F,70,130,60
1983,5,F,75,70,40
1983,5,F,80,20,30
1983,5,F,85,10,30
1983,5,M,0,910,520
1983,5,M,5,780,440
1983,5,M,10,760,390
1983,5,M,15,720,320
1983,5,M,20,970,1000
1983,5,M,25,1290,1160
1983,5,M,30,1230,890
1983,5,M,35,1040,610
1983,5,M,40,590,350
1983,5,M,45,340,220
1983,5,M,50,240,160
1983,5,M,55,210,100
1983,5,M,60,220,90
1983,5,M,65,190,70
1983,5,M,70,120,50
1983,5,M,75,60,20
1983,5,M,80,20,10
1983,5,M,85,0,0
1983,6,F,0,80,50
1983,6,F,5,60,30
1983,6,F,10,50,30
1983,6,F,15,80,40
1983,6,F,20,120,120
1983,6,F,25,150,120
1983,6,F,30,100,60
1983,6,F,35,60,40
1983,6,F,40,50,30
1983,6,F,45,30,0
1983,6,F,50,0,0
1983,6,F,55,20,20
1983,6,F,60,20,10
1983,6,F,65,10,10
1983,6,F,70,20,0
1983,6,F,75,10,0
1983,6,F,80,10,0
1983,6,F,85,0,0
1983,6,M,0,70,40
1983,6,M,5,70,50
1983,6,M,10,60,30
1983,6,M,15,170,40
1983,6,M,20,120,120
1983,6,M,25,140,140
1983,6,M,30,110,80
1983,6,M,35,60,60
1983,6,M,40,50,40
1983,6,M,45,30,20
1983,6,M,50,20,20
1983,6,M,55,20,20
1983,6,M,60,20,0
1983,6,M,65,10,10
1983,6,M,70,20,0
1983,6,M,75,0,0
1983,6,M,80,0,0
1983,6,M,85,0,0
1983,7,F,0,80,50
1983,7,F,5,90,40
1983,7,F,10,70,40
1983,7,F,15,50,30
1983,7,F,20,120,70
1983,7,F,25,160,120
1983,7,F,30,100,60
1983,7,F,35,60,40
1983,7,F,40,50,30
1983,7,F,45,30,10
1983,7,F,50,30,0
1983,7,F,55,0,0
1983,7,F,60,0,0
1983,7,F,65,20,0
1983,7,F,70,0,0
1983,7,F,75,0,0
1983,7,F,80,0,0
1983,7,F,85,0,0
1983,7,M,0,120,40
1983,7,M,5,100,50
1983,7,M,10,70,40
1983,7,M,15,60,20
1983,7,M,20,120,70
1983,7,M,25,150,110
1983,7,M,30,120,80
1983,7,M,35,100,70
1983,7,M,40,70,40
1983,7,M,45,40,30
1983,7,M,50,40,20
1983,7,M,55,20,10
1983,7,M,60,0,10
1983,7,M,65,0,0
1983,7,M,70,0,0
1983,7,M,75,0,0
1983,7,M,80,0,0
1983,7,M,85,0,0
1983,8,F,0,230,220
1983,8,F,5,230,230
1983,8,F,10,190,190
1983,8,F,15,170,110
1983,8,F,20,220,180
1983,8,F,25,300,290
1983,8,F,30,340,320
1983,8,F,35,310,310
1983,8,F,40,170,150
1983,8,F,45,100,100
1983,8,F,50,80,70
1983,8,F,55,60,40
1983,8,F,60,60,30
1983,8,F,65,30,30
1983,8,F,70,30,20
1983,8,F,75,10,0
1983,8,F,80,0,0
1983,8,F,85,0,0
1983,8,M,0,260,240
1983,8,M,5,250,230
1983,8,M,10,230,190
1983,8,M,15,170,120
1983,8,M,20,210,130
1983,8,M,25,300,240
1983,8,M,30,350,350
1983,8,M,35,350,390
1983,8,M,40,220,230
1983,8,M,45,150,140
1983,8,M,50,130,110
1983,8,M,55,80,80
1983,8,M,60,60,40
1983,8,M,65,40,20
1983,8,M,70,20,0
1983,8,M,75,0,0
1983,8,M,80,0,0
1983,8,M,85,0,0
1984,1,F,0,2350,1360
1984,1,F,5,2260,1150
1984,1,F,10,1890,960
1984,1,F,15,2360,980
1984,1,F,20,3960,2750
1984,1,F,25,4360,2760
1984,1,F,30,3540,2150
1984,1,F,35,2490,1630
1984,1,F,40,1400,870
1984,1,F,45,900,510
1984,1,F,50,780,410
1984,1,F,55,770,400
1984,1,F,60,850,380
1984,1,F,65,530,240
1984,1,F,70,450,280
1984,1,F,75,190,120
1984,1,F,80,90,50
1984,1,F,85,60,20
1984,1,M,0,2470,1390
1984,1,M,5,2280,1130
1984,1,M,10,2120,840
1984,1,M,15,2450,810
1984,1,M,20,3750,2610
1984,1,M,25,4200,2840
1984,1,M,30,3630,2290
1984,1,M,35,3190,2010
1984,1,M,40,2070,1320
1984,1,M,45,1370,880
1984,1,M,50,870,550
1984,1,M,55,730,410
1984,1,M,60,600,330
1984,1,M,65,460,270
1984,1,M,70,320,180
1984,1,M,75,120,90
1984,1,M,80,60,50
1984,1,M,85,20,0
1984,2,F,0,1500,840
1984,2,F,5,1510,760
1984,2,F,10,1310,610
1984,2,F,15,1800,700
1984,2,F,20,2510,1770
1984,2,F,25,2760,1630
1984,2,F,30,2220,1250
1984,2,F,35,1590,950
1984,2,F,40,860,510
1984,2,F,45,590,350
1984,2,F,50,530,290
1984,2,F,55,540,350
1984,2,F,60,560,270
1984,2,F,65,400,230
1984,2,F,70,270,170
1984,2,F,75,160,80
1984,2,F,80,60,50
1984,2,F,85,30,0
1984,2,M,0,1510,840
1984,2,M,5,1590,720
1984,2,M,10,1460,610
1984,2,M,15,1890,600
1984,2,M,20,2510,1700
1984,2,M,25,2620,1700
1984,2,M,30,2240,1390
1984,2,M,35,1990,1150
1984,2,M,40,1170,770
1984,2,M,45,820,450
1984,2,M,50,560,330
1984,2,M,55,460,290
1984,2,M,60,460,250
1984,2,M,65,300,200
1984,2,M,70,200,170
1984,2,M,75,120,70
1984,2,M,80,30,40
1984,2,M,85,0,0
1984,3,F,0,840,580
1984,3,F,5,720,520
1984,3,F,10,640,440
1984,3,F,15,690,340
1984,3,F,20,1330,1030
1984,3,F,25,1390,1120
1984,3,F,30,1060,810
1984,3,F,35,840,590
1984,3,F,40,470,350
1984,3,F,45,260,190
1984,3,F,50,210,180
1984,3,F,55,240,180
1984,3,F,60,280,110
1984,3,F,65,170,90
1984,3,F,70,150,70
1984,3,F,75,70,40
1984,3,F,80,30,20
1984,3,F,85,10,10
1984,3,M,0,810,720
1984,3,M,5,710,510
1984,3,M,10,640,440
1984,3,M,15,680,350
1984,3,M,20,1150,950
1984,3,M,25,1320,1190
1984,3,M,30,1110,920
1984,3,M,35,900,810
1984,3,M,40,620,460
1984,3,M,45,340,280
1984,3,M,50,280,180
1984,3,M,55,220,150
1984,3,M,60,200,120
1984,3,M,65,130,80
1984,3,M,70,90,70
1984,3,M,75,50,30
1984,3,M,80,20,20
1984,3,M,85,0,0
1984,4,F,0,440,200
1984,4,F,5,390,160
1984,4,F,10,330,200
1984,4,F,15,450,210
1984,4,F,20,660,470
1984,4,F,25,800,470
1984,4,F,30,580,420
1984,4,F,35,400,280
1984,4,F,40,220,150
1984,4,F,45,130,100
1984,4,F,50,110,100
1984,4,F,55,130,90
1984,4,F,60,170,100
1984,4,F,65,120,50
1984,4,F,70,90,70
1984,4,F,75,60,30
1984,4,F,80,30,20
1984,4,F,85,10,0
1984,4,M,0,410,250
1984,4,M,5,360,190
1984,4,M,10,350,170
1984,4,M,15,410,170
1984,4,M,20,530,390
1984,4,M,25,700,420
1984,4,M,30,650,370
1984,4,M,35,470,290
1984,4,M,40,280,200
1984,4,M,45,130,140
1984,4,M,50,130,120
1984,4,M,55,100,80
1984,4,M,60,150,80
1984,4,M,65,110,60
1984,4,M,70,50,50
1984,4,M,75,30,30
1984,4,M,80,20,0
1984,4,M,85,0,0
1984,5,F,0,780,480
1984,5,F,5,650,390
1984,5,F,10,540,320
1984,5,F,15,680,330
1984,5,F,20,1060,940
1984,5,F,25,1230,880
1984,5,F,30,1020,670
1984,5,F,35,660,510
1984,5,F,40,390,250
1984,5,F,45,220,180
1984,5,F,50,200,130
1984,5,F,55,230,110
1984,5,F,60,310,180
1984,5,F,65,190,120
1984,5,F,70,130,70
1984,5,F,75,80,50
1984,5,F,80,30,20
1984,5,F,85,10,0
1984,5,M,0,750,550
1984,5,M,5,650,400
1984,5,M,10,590,390
1984,5,M,15,620,260
1984,5,M,20,960,840
1984,5,M,25,1090,980
1984,5,M,30,1000,830
1984,5,M,35,790,600
1984,5,M,40,480,370
1984,5,M,45,310,250
1984,5,M,50,200,170
1984,5,M,55,170,120
1984,5,M,60,210,130
1984,5,M,65,180,100
1984,5,M,70,130,50
1984,5,M,75,60,40
1984,5,M,80,20,10
1984,5,M,85,0,0
1984,6,F,0,70,30
1984,6,F,5,70,40
